customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST1000,59.0,Female,South,Secondary,Self-Employed,582391.1061647913,189837.60077538143,Car,788.7546473429909,2,38,40.612775815603754,2016-12-07 05:48:54,0
CUST1001,49.0,Male,West,Primary,Salaried,667650.4975058357,287991.25027836836,Business,571.9807259919781,1,33,52.866031121408376,2022-06-09 05:11:55,0
CUST1002,35.0,Female,East,Post-Graduate,Salaried,563722.9193781428,451837.2599868749,Other,826.6735272923763,1,48,69.38766524218468,2017-01-23 01:27:55,1
CUST1003,63.0,Female,North,Graduate,Self-Employed,501129.1324286566,317216.17127570906,Business,602.4520117808316,0,32,13.001753708790813,2019-08-19 20:18:09,0
CUST1004,28.0,Male,North,Post-Graduate,Salaried,349860.78740235476,740726.4083994848,Business,542.7954487711353,1,48,21.027790183071847,2017-04-19 18:33:34,0
CUST1005,41.0,Male,North,Post-Graduate,Salaried,604388.7616430664,437708.04013306915,Business,632.646800765877,0,42,39.09483226291854,2023-05-15 08:22:11,1
CUST1006,,,North,Graduate,,,680813.8798478523,Education,,2,32,29.862100303241263,2017-11-01 16:44:01,1
CUST1007,39.0,Female,South,Graduate,Self-Employed,462800.39165611577,54425.82928761967,Car,721.61641880149,1,51,95.0,2015-02-01 21:29:08,0
CUST1008,43.0,Male,South,Graduate,Salaried,414443.17818784784,257301.9746343775,Other,698.237128275301,1,42,1.0,2015-08-15 20:09:04,0
CUST1009,31.0,Female,North,Secondary,Salaried,552124.629698217,199913.5894520347,Other,713.6149489313216,2,39,10.96778797227627,2016-04-27 18:26:48,0
CUST1010,31.0,Female,North,Graduate,Self-Employed,557334.0401381461,225260.35866146156,Car,588.4325228398154,1,38,8.248319061170886,2016-02-10 07:03:35,0
CUST1011,44.0,Male,North,Graduate,Salaried,791991.334886749,149795.2061579716,Car,676.0835501092687,3,44,7.605988181147316,2024-06-22 02:42:42,1
CUST1012,56.0,Male,South,Graduate,Salaried,916695.4554499199,307958.29293272237,Car,650.2001840253698,2,35,6.292748528180645,2016-06-08 08:14:57,1
CUST1013,60.0,Male,North,Post-Graduate,Salaried,376444.231952606,82041.9631064068,Car,794.7253398915527,1,39,30.871441805074014,2018-05-20 07:00:48,0
CUST1014,44.0,Female,North,Graduate,Salaried,998566.5250540059,309298.5026976697,Home,641.3049826730678,3,39,2.2142094378430293,2024-04-01 02:00:43,0
CUST1015,23.0,Male,West,Graduate,Self-Employed,444140.88009571366,152813.46413383225,Other,619.7378764338073,0,39,33.83201736863262,2017-01-05 13:36:12,0
CUST1016,42.0,Female,West,Graduate,Salaried,634505.356584618,179830.19903028916,Home,556.8160482104702,2,34,29.557390046600773,2020-03-11 02:52:57,1
CUST1017,22.0,Female,North,Graduate,Salaried,702172.5978296635,315874.7526854332,Business,661.2011589500493,2,45,7.218870607805545,2018-03-22 03:04:48,0
CUST1018,44.0,Female,East,Graduate,Salaried,1088916.5505165013,254553.58342467376,Business,673.4361466815068,0,44,7.286690152627903,2020-01-14 15:24:26,0
CUST1019,64.0,Male,North,Secondary,Self-Employed,491543.53244746715,456960.6434689379,Other,553.8729449487586,0,40,24.779437655500505,2021-12-14 06:25:08,0
CUST1020,50.0,Female,West,Graduate,Self-Employed,240652.39740438934,135713.03470182975,Business,686.2530883248461,2,38,35.90509486172216,2023-01-07 22:43:04,0
CUST1021,58.0,Male,East,Secondary,Salaried,898075.8940385962,231324.46368575215,Car,668.6543619035887,3,33,52.284940911980016,2015-08-16 01:07:10,0
CUST1022,22.0,Female,East,Secondary,Salaried,433325.28824091307,413852.07003865676,Home,731.0756607907011,2,42,47.787161228451005,2018-09-25 14:07:47,1
CUST1023,41.0,Male,North,Graduate,Self-Employed,527682.2838848814,301558.6628633683,Car,746.9894494321522,2,35,83.72674422711634,2021-08-24 17:57:42,0
CUST1024,53.0,Male,West,Graduate,Salaried,376450.0692147649,313437.90588279563,Business,657.5423434891424,0,44,21.77008464643829,2023-07-28 22:41:33,0
CUST1025,32.0,Female,West,Post-Graduate,Self-Employed,528259.2453902162,472043.1665919532,Home,567.0908092694324,1,41,59.82794693724593,2020-07-24 03:22:30,0
CUST1026,42.0,Male,East,Graduate,Self-Employed,431921.6927589118,190280.49094816294,Car,583.5502735564285,1,39,41.32341962071092,2020-06-08 06:48:10,1
CUST1027,64.0,Male,North,Graduate,Self-Employed,735288.3632989542,167694.8895738702,Other,790.9702130463272,0,38,56.26586114233499,2023-05-25 07:47:18,0
CUST1028,45.0,Female,South,Graduate,Salaried,616158.3259443959,343019.52960784803,Car,663.2391514498048,1,42,1.0,2017-02-01 13:13:51,0
CUST1029,47.0,Female,South,Graduate,Salaried,463788.96787706425,221979.67628399987,Business,789.6923023640845,0,41,84.46364091355477,2019-04-10 21:28:54,1
CUST1030,62.0,Female,West,Primary,Self-Employed,799174.3953317855,476070.93280943984,Home,689.8883854789784,2,38,16.039030960155966,2019-09-20 04:55:21,1
CUST1031,48.0,Female,South,Secondary,Salaried,650999.3501349197,303113.9426852077,Other,710.2988509742759,2,38,40.00984702826747,2023-09-27 20:19:16,1
CUST1032,36.0,Male,West,Secondary,Salaried,230790.34991118894,167040.16840136595,Home,725.0978892990528,2,30,3.4013391038911878,2023-01-25 21:17:57,0
CUST1033,35.0,Male,West,Graduate,Self-Employed,783940.6628168604,297458.6242328626,Other,552.1488948472461,0,36,12.602089057890758,2023-11-23 11:38:40,0
CUST1034,64.0,Male,West,Primary,Self-Employed,,141263.21490279704,Home,674.5560600090021,2,38,7.917841439471409,2018-12-31 10:36:42,0
CUST1035,23.0,Male,South,Secondary,Salaried,,428547.5935644579,Business,551.040087891035,1,40,8.620733470644346,2017-02-14 18:26:55,0
CUST1036,57.0,Female,West,Secondary,Salaried,624783.4852685289,104999.26363038432,Other,627.2070121698029,0,40,3.28849499908598,2024-02-01 21:14:03,0
CUST1037,27.0,Female,East,Post-Graduate,Salaried,2649948.779318886,2527337.858683159,Education,900.0,1,37,40.96701255681357,2024-09-08 05:13:53,0
CUST1038,41.0,Male,North,Secondary,Self-Employed,559140.9333396326,294350.3215052401,Home,567.9732887574038,0,43,1.0,2022-11-08 12:27:56,0
CUST1039,29.0,Male,North,Graduate,Unemployed,760783.8661761441,219973.73200454138,Home,694.7469859622138,4,39,9.367534672648352,2020-02-27 17:44:00,0
CUST1040,59.0,Female,West,Secondary,Salaried,445852.5880598275,383847.4513612593,Car,530.1304811627331,3,39,4.79144136762751,2020-06-26 04:46:01,0
CUST1041,,Male,North,Graduate,Salaried,,329982.8579533099,Other,,5,40,22.231420374507085,2015-10-28 02:41:35,1
CUST1042,24.0,Female,South,Secondary,Self-Employed,555662.2840001866,539408.8040006415,Education,596.8450254315721,0,46,7.334201933376722,2021-05-24 18:42:52,0
CUST1043,45.0,Male,South,Secondary,Salaried,370125.6779568254,536400.8650113635,Business,567.8306060624973,2,41,7.493814200778491,2021-11-29 12:34:31,0
CUST1044,34.0,Female,North,Graduate,Salaried,448735.31507428514,299950.95786741865,Car,535.1715267207136,2,39,16.752282740459904,2015-08-27 05:30:27,0
CUST1045,29.0,Male,South,Primary,Unemployed,634510.0383608381,143909.16590161633,Education,603.6516933729873,0,38,26.438369002533157,2015-04-22 22:07:06,0
CUST1046,46.0,Female,North,Primary,Salaried,840495.5495306016,175447.4066437474,Other,497.391055443456,2,48,3.232927262519409,2015-03-03 15:57:06,0
CUST1047,22.0,Female,North,Secondary,Self-Employed,663429.396942095,232585.19535237865,Education,606.1280688713337,2,42,4.824800681840297,2023-05-24 10:39:18,0
CUST1048,40.0,Female,North,Primary,Salaried,590827.7481261957,464646.8885521199,Home,737.9589620266465,0,30,7.098053566198402,2016-08-23 08:08:44,0
CUST1049,,,West,Secondary,,,184640.8975179528,Home,,2,36,91.00053146642954,2024-04-17 12:20:54,1
CUST1050,27.0,Female,North,Secondary,Self-Employed,819032.0823440463,194120.75400678773,Car,555.7985107274687,0,48,12.652275407532462,2019-03-11 20:03:55,0
CUST1051,64.0,Female,West,Post-Graduate,Salaried,686701.0999893685,736018.385398821,Other,668.1010653255047,3,29,22.84422850843925,2024-10-05 07:09:15,0
CUST1052,28.0,Male,North,Graduate,Unemployed,458654.0472961521,228072.96830775536,Other,661.0316620699925,2,37,6.911723142751811,2020-12-06 15:41:27,0
CUST1053,55.0,Female,North,Graduate,Salaried,779729.6917369801,165903.38267932882,Education,806.5287970068573,1,44,16.85614972889022,2015-06-09 04:48:49,0
CUST1054,34.0,Female,North,Secondary,Salaried,711915.4123020933,386925.5657836338,Car,713.2576814832324,3,48,1.9252437664813147,2017-04-21 13:30:26,0
CUST1055,37.0,Male,South,Post-Graduate,Salaried,437293.9301267528,234760.10225020486,Other,674.4478501738276,2,39,1.0,2018-01-03 08:38:51,0
CUST1056,56.0,Female,West,Secondary,Salaried,579724.3487471599,105476.18817701109,Home,722.4053238687638,1,33,15.812288772204603,2015-03-07 14:39:55,0
CUST1057,60.0,Female,West,Primary,Salaried,501445.4543514126,453408.35743094893,Education,639.249514545595,1,44,12.714839894803125,2024-01-11 12:01:15,1
CUST1058,24.0,Female,North,Graduate,Salaried,1126707.5880063209,155092.4093460423,Business,643.9669455275041,1,47,3.680047953251512,2022-11-20 09:31:59,1
CUST1059,22.0,Male,North,Secondary,Salaried,706348.9766251318,249234.96350257943,Home,782.7152242745252,1,38,29.086885875927454,2021-01-10 04:57:24,1
CUST1060,26.0,Male,South,Secondary,Salaried,637352.410969648,233075.22434940748,Car,519.1536778547002,3,41,95.0,2018-11-24 02:55:49,0
CUST1061,62.0,Other,South,Graduate,Self-Employed,694532.6112153427,278747.2410368735,Other,727.4356410512752,2,38,12.589912970477316,2017-07-06 01:30:11,0
CUST1062,24.0,Female,South,Post-Graduate,Self-Employed,875832.5176394996,65209.18136362112,Home,641.1366819449779,2,38,24.491324355300534,2015-12-07 14:44:35,1
CUST1063,49.0,Male,West,Graduate,Self-Employed,583323.9711123069,198578.60838262236,Business,626.6808462997318,2,40,82.40468428163089,2016-01-17 23:09:43,0
CUST1064,38.0,Female,West,Graduate,Salaried,482018.1404268487,476823.764941307,Business,605.7683253045029,0,36,44.52567755862601,2024-03-06 11:28:25,1
CUST1065,46.0,Female,West,Post-Graduate,Salaried,768856.6456194835,518796.66957957216,Car,662.293921645135,1,46,15.569651559531009,2017-02-09 15:11:17,0
CUST1066,64.0,Male,North,Secondary,Self-Employed,565011.0867997376,133950.52187598357,Home,646.5176426796266,0,41,33.43660346381249,2015-09-15 18:37:43,0
CUST1067,54.0,Female,West,Secondary,Salaried,386020.9341838993,421830.5388350686,Education,616.8238090618427,2,38,3.4280182434559636,2021-05-20 00:07:36,0
CUST1068,30.0,Male,East,Secondary,Salaried,347062.7136487883,153759.06562492705,Home,593.787380390668,2,49,17.941317858785872,2022-04-26 04:08:36,0
CUST1069,56.0,Male,East,Graduate,Self-Employed,905859.3101679067,193935.4487682167,Business,497.57356380392514,3,37,8.17999368458397,2022-09-09 10:13:36,0
