customer_id,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,default_flag
CUST00001,634600.0,225000.0,Education,765.0,3,29.67,0
CUST00002,158000.0,48900.0,Car,673.0,9,34.02,0
CUST00003,480600.0,63600.0,Home,493.0,33,71.37,0
CUST00004,500000.0,20000.0,Home,687.0,9,15.1,0
CUST00005,745100.0,281700.0,Car,734.0,32,8.41,0
CUST00006,531300.0,311500.0,Education,644.0,7,92.57,0
CUST00007,859300.0,369700.0,Car,790.0,7,12.8,0
CUST00008,583200.0,291700.0,Car,719.0,91,49.76,0
CUST00009,986000.0,302600.0,Car,695.0,32,99.61,1
CUST00010,,147400.0,Education,737.0,6,18.81,0
CUST00011,521800.0,104200.0,Other,677.0,79,27.82,0
CUST00012,709300.0,294200.0,Home,,33,48.23,0
CUST00013,377900.0,158800.0,Car,610.0,74,46.53,0
CUST00014,342700.0,50300.0,Home,746.0,33,11.11,0
CUST00015,368400.0,144000.0,Education,585.0,34,54.97,0
CUST00016,349000.0,179600.0,Business,632.0,76,21.17,0
CUST00017,618600.0,216600.0,Other,566.0,6,67.45,0
CUST00018,214100.0,97800.0,Home,793.0,26,39.89,0
CUST00019,242800.0,69000.0,Other,785.0,51,13.23,0
CUST00020,1130600.0,378400.0,Home,579.0,7,34.5,0
CUST00021,352800.0,26800.0,Education,662.0,3,7.23,0
CUST00022,535000.0,108900.0,Home,596.0,11,53.03,1
CUST00023,250200.0,20000.0,Business,,31,10.97,0
CUST00024,510100.0,80700.0,Education,691.0,34,38.06,0
CUST00025,353800.0,81800.0,Education,715.0,24,54.28,0
CUST00026,242000.0,83700.0,Business,677.0,2,26.92,0
CUST00027,892400.0,133500.0,Home,850.0,37,32.82,0
CUST00028,832500.0,515000.0,Home,568.0,77,56.61,1
CUST00029,465900.0,68900.0,Business,513.0,42,39.88,0
CUST00030,766600.0,82000.0,Car,619.0,38,25.08,0
CUST00031,1151400.0,158500.0,Home,525.0,38,14.72,1
CUST00032,686500.0,198100.0,Car,531.0,31,66.9,0
CUST00033,606700.0,168600.0,Education,570.0,34,32.18,0
