customer_id,annual_income,loan_amount,credit_score,transaction_count,spending_ratio,default_flag,age,employment_type,repayment_history,inflation_rate,unemployment_rate,join_year,join_month,join_day,join_weekday,education_level_encoded,gender_encoded,region_East,region_North,region_South,region_West,purpose_Business,purpose_Car,purpose_Education,purpose_Home,purpose_Other,income_band,good_credit_flag,txn_quantile_bin,txn_kmeans_bin,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
CUST00001,634600.0,225000.0,765.0,3,29.67,0,59.0,Salaried,3,5.9,7.2,2022,9,5,Monday,1.0,1,True,False,False,False,False,False,True,False,False,Medium,1,Q1,2,0.3546,0.5,29.67
CUST00002,158000.0,48900.0,673.0,9,34.02,0,49.0,Salaried,1,5.1,5.8,2021,9,16,Thursday,2.0,0,False,False,False,True,False,True,False,False,False,Low,0,Q1,2,0.3095,1.5,34.02
CUST00003,480600.0,63600.0,493.0,33,71.37,0,35.0,Self-Employed,3,5.4,6.1,2024,8,21,Wednesday,2.0,2,False,True,False,False,False,False,False,True,False,Medium,0,Q2,1,0.1323,5.5,71.37
CUST00004,500000.0,20000.0,687.0,9,15.1,0,63.0,Salaried,1,5.4,6.1,2024,3,16,Saturday,3.0,0,False,True,False,False,False,False,False,True,False,Medium,0,Q1,2,0.04,1.5,15.1
CUST00005,745100.0,281700.0,734.0,32,8.41,0,28.0,Salaried,2,5.9,7.2,2023,1,22,Sunday,0.0,0,True,False,False,False,False,True,False,False,False,High,1,Q2,1,0.3781,5.33,8.41
CUST00006,531300.0,311500.0,644.0,7,92.57,0,41.0,Salaried,0,5.4,6.1,2025,8,22,Friday,3.0,1,False,True,False,False,False,False,True,False,False,Medium,0,Q1,2,0.5863,1.17,92.57
CUST00007,859300.0,369700.0,790.0,7,12.8,0,59.0,Salaried,2,5.4,6.1,2021,3,16,Tuesday,2.0,1,False,True,False,False,False,True,False,False,False,High,1,Q1,2,0.4302,1.17,12.8
CUST00008,583200.0,291700.0,719.0,91,49.76,0,39.0,Self-Employed,1,5.4,6.1,2019,1,2,Wednesday,2.0,1,False,True,False,False,False,True,False,False,False,Medium,1,Q4,0,0.5002,15.17,49.76
CUST00009,986000.0,302600.0,695.0,32,99.61,1,43.0,Salaried,4,5.4,6.1,2020,11,8,Sunday,2.0,1,False,True,False,False,False,True,False,False,False,Very High,0,Q2,1,0.3069,5.33,99.61
CUST00010,717640.0,147400.0,737.0,6,18.81,0,31.0,Salaried,1,5.4,6.1,2022,5,9,Monday,2.0,1,False,True,False,False,False,False,True,False,False,High,1,Q1,2,0.2054,1.0,18.81
CUST00011,521800.0,104200.0,677.0,79,27.82,0,31.0,Salaried,2,4.8,5.3,2020,5,23,Saturday,1.0,0,False,False,True,False,False,False,False,False,True,Medium,0,Q4,0,0.1997,13.17,27.82
CUST00012,709300.0,294200.0,652.6,33,48.23,0,44.0,Salaried,1,4.8,5.3,2025,1,1,Wednesday,2.0,1,False,False,True,False,False,False,False,True,False,High,0,Q2,1,0.4148,5.5,48.23
CUST00013,377900.0,158800.0,610.0,74,46.53,0,56.0,Salaried,3,5.1,5.8,2019,8,11,Sunday,2.0,1,False,False,False,True,False,True,False,False,False,Low,0,Q4,0,0.4202,12.33,46.53
CUST00014,342700.0,50300.0,746.0,33,11.11,0,60.0,Salaried,1,4.8,5.3,2022,2,28,Monday,2.0,0,False,False,True,False,False,False,False,True,False,Low,1,Q2,1,0.1468,5.5,11.11
CUST00015,368400.0,144000.0,585.0,34,54.97,0,44.0,Salaried,2,5.9,7.2,2020,10,3,Saturday,3.0,1,True,False,False,False,False,False,True,False,False,Low,0,Q2,1,0.3909,5.67,54.97
CUST00016,349000.0,179600.0,632.0,76,21.17,0,44.0,Self-Employed,2,5.4,6.1,2023,1,11,Wednesday,1.0,0,False,True,False,False,True,False,False,False,False,Low,0,Q4,0,0.5146,12.67,21.17
CUST00017,618600.0,216600.0,566.0,6,67.45,0,42.0,Salaried,3,5.4,6.1,2024,6,26,Wednesday,3.0,0,False,True,False,False,False,False,False,False,True,Medium,0,Q1,2,0.3501,1.0,67.45
CUST00018,214100.0,97800.0,793.0,26,39.89,0,22.0,Salaried,1,5.9,7.2,2019,5,19,Sunday,0.0,2,True,False,False,False,False,False,False,True,False,Low,1,Q2,1,0.4568,4.33,39.89
CUST00019,242800.0,69000.0,785.0,51,13.23,0,44.0,Salaried,2,5.4,6.1,2024,4,5,Friday,0.0,0,False,True,False,False,False,False,False,False,True,Low,1,Q4,1,0.2842,8.5,13.23
CUST00020,1130600.0,378400.0,579.0,7,34.5,0,64.0,Self-Employed,3,4.8,5.3,2021,8,22,Sunday,0.0,0,False,False,True,False,False,False,False,True,False,Very High,0,Q1,2,0.3347,1.17,34.5
CUST00021,352800.0,26800.0,662.0,3,7.23,0,50.0,Salaried,1,5.9,7.2,2021,9,27,Monday,1.0,2,True,False,False,False,False,False,True,False,False,Low,0,Q1,2,0.076,0.5,7.23
CUST00022,535000.0,108900.0,596.0,11,53.03,1,58.0,Salaried,2,5.9,7.2,2020,7,6,Monday,2.0,0,True,False,False,False,False,False,False,True,False,Medium,0,Q2,2,0.2036,1.83,53.03
CUST00023,250200.0,20000.0,628.2,31,10.97,0,22.0,Salaried,1,5.4,6.1,2019,6,11,Tuesday,0.0,1,False,True,False,False,True,False,False,False,False,Low,0,Q2,1,0.0799,5.17,10.97
CUST00024,510100.0,80700.0,691.0,34,38.06,0,41.0,Unemployed,3,4.8,5.3,2022,3,28,Monday,0.0,1,False,False,True,False,False,False,True,False,False,Medium,0,Q2,1,0.1582,5.67,38.06
CUST00025,353800.0,81800.0,715.0,24,54.28,0,53.0,Salaried,3,5.9,7.2,2020,12,19,Saturday,3.0,1,True,False,False,False,False,False,True,False,False,Low,1,Q2,1,0.2312,4.0,54.28
CUST00026,242000.0,83700.0,677.0,2,26.92,0,32.0,Self-Employed,3,5.4,6.1,2022,1,26,Wednesday,3.0,1,False,True,False,False,True,False,False,False,False,Low,0,Q1,2,0.3459,0.33,26.92
CUST00027,892400.0,133500.0,850.0,37,32.82,0,42.0,Salaried,1,5.9,7.2,2025,8,26,Tuesday,2.0,0,True,False,False,False,False,False,False,True,False,High,1,Q3,1,0.1496,6.17,32.82
CUST00028,832500.0,504150.0,568.0,77,56.61,1,64.0,Salaried,3,5.9,7.2,2020,3,25,Wednesday,3.0,0,True,False,False,False,False,False,False,True,False,High,0,Q4,0,0.6056,12.83,56.61
CUST00029,465900.0,68900.0,513.0,42,39.88,0,45.0,Self-Employed,1,5.1,5.8,2019,9,5,Thursday,2.0,0,False,False,False,True,True,False,False,False,False,Medium,0,Q3,1,0.1479,7.0,39.88
CUST00030,766600.0,82000.0,619.0,38,25.08,0,47.0,Salaried,3,5.4,6.1,2024,8,13,Tuesday,1.0,1,False,True,False,False,False,True,False,False,False,High,0,Q3,1,0.107,6.33,25.08
CUST00031,1151400.0,158500.0,525.0,38,14.72,1,62.0,Self-Employed,4,5.1,5.8,2025,1,27,Monday,1.0,0,False,False,False,True,False,False,False,True,False,Very High,0,Q3,1,0.1377,6.33,14.72
CUST00032,686500.0,198100.0,531.0,31,66.9,0,48.0,Self-Employed,1,4.8,5.3,2025,12,26,Friday,2.0,0,False,False,True,False,False,True,False,False,False,High,0,Q2,1,0.2886,5.17,66.9
CUST00033,606700.0,168600.0,570.0,34,32.18,0,36.0,Self-Employed,0,4.8,5.3,2020,11,13,Friday,1.0,0,False,False,True,False,False,False,True,False,False,Medium,0,Q2,1,0.2779,5.67,32.18
CUST00034,534700.0,203000.0,576.0,88,16.86,0,35.0,Salaried,0,5.4,6.1,2024,3,15,Friday,2.0,0,False,True,False,False,False,False,False,True,False,Medium,0,Q4,0,0.3797,14.67,16.86
CUST00035,654900.0,207300.0,574.0,44,7.46,1,64.0,Salaried,2,5.9,7.2,2021,1,10,Sunday,0.0,0,True,False,False,False,False,False,False,True,False,High,0,Q3,1,0.3165,7.33,7.46
CUST00036,415100.0,304400.0,691.0,86,32.66,1,23.0,Salaried,3,5.4,6.1,2023,6,2,Friday,1.0,1,False,True,False,False,False,False,False,True,False,Medium,0,Q4,0,0.7333,14.33,32.66
CUST00037,431700.0,28300.0,610.0,4,26.0,0,57.0,Self-Employed,1,4.8,5.3,2024,10,16,Wednesday,2.0,0,False,False,True,False,False,True,False,False,False,Medium,0,Q1,2,0.0656,0.67,26.0
CUST00038,598900.0,147200.0,636.0,12,14.86,0,27.0,Self-Employed,0,5.4,6.1,2019,5,1,Wednesday,2.0,1,False,True,False,False,True,False,False,False,False,Medium,0,Q2,2,0.2458,2.0,14.86
CUST00039,395000.0,20000.0,722.0,5,40.4,0,41.0,Self-Employed,0,5.1,5.8,2020,10,9,Friday,2.0,1,False,False,False,True,False,False,False,False,True,Medium,1,Q1,2,0.0506,0.83,40.4
CUST00040,414700.0,126000.0,589.0,36,15.02,0,29.0,Salaried,1,5.9,7.2,2023,8,25,Friday,2.0,0,True,False,False,False,False,False,True,False,False,Medium,0,Q3,1,0.3038,6.0,15.02
CUST00041,489000.0,20000.0,629.0,23,77.76,0,59.0,Salaried,1,5.9,7.2,2021,7,10,Saturday,0.0,1,True,False,False,False,False,False,False,True,False,Medium,0,Q2,1,0.0409,3.83,77.76
CUST00042,820600.0,411500.0,679.0,9,21.02,0,38.0,Salaried,1,4.8,5.3,2021,5,6,Thursday,1.0,0,False,False,True,False,False,False,False,False,True,High,0,Q1,2,0.5015,1.5,21.02
CUST00043,293700.0,102200.0,495.0,10,7.33,0,24.0,Self-Employed,0,5.4,6.1,2025,10,13,Monday,3.0,1,False,True,False,False,False,True,False,False,False,Low,0,Q1,2,0.348,1.67,7.33
CUST00044,688100.0,255800.0,459.0,90,34.71,0,45.0,Salaried,5,5.9,7.2,2024,5,7,Tuesday,2.0,0,True,False,False,False,False,False,False,True,False,High,0,Q4,0,0.3717,15.0,34.71
CUST00045,698200.0,269000.0,678.0,94,55.96,0,44.0,Salaried,2,4.8,5.3,2019,11,25,Monday,1.0,1,False,False,True,False,False,False,False,False,True,High,0,Q4,0,0.3853,15.67,55.96
CUST00046,696400.0,82700.0,689.0,34,11.65,0,29.0,Self-Employed,2,5.4,6.1,2023,1,17,Tuesday,3.0,2,False,True,False,False,True,False,False,False,False,High,0,Q2,1,0.1188,5.67,11.65
CUST00047,340100.0,58100.0,815.0,38,47.1,0,46.0,Salaried,1,5.9,7.2,2023,5,4,Thursday,1.0,0,True,False,False,False,True,False,False,False,False,Low,1,Q3,1,0.1708,6.33,47.1
CUST00048,228300.0,20000.0,663.0,32,51.61,0,22.0,Salaried,1,5.1,5.8,2022,6,4,Saturday,2.0,1,False,False,False,True,True,False,False,False,False,Low,0,Q2,1,0.0876,5.33,51.61
CUST00049,629000.0,317700.0,716.0,35,32.35,0,40.0,Salaried,1,5.9,7.2,2019,6,14,Friday,1.0,1,True,False,False,False,False,False,False,True,False,Medium,1,Q3,1,0.5051,5.83,32.35
CUST00050,532000.0,93900.0,634.0,102,84.34,0,44.0,Salaried,2,5.9,7.2,2021,3,22,Monday,2.0,2,True,False,False,False,False,False,False,True,False,Medium,0,Q4,0,0.1765,17.0,84.34
CUST00051,768300.0,97100.0,674.0,7,15.46,0,27.0,Salaried,0,5.1,5.8,2021,10,1,Friday,2.0,1,False,False,False,True,False,False,True,False,False,High,0,Q1,2,0.1264,1.17,15.46
CUST00052,356700.0,288100.0,783.0,41,12.19,0,64.0,Salaried,1,5.4,6.1,2022,8,1,Monday,1.0,1,False,True,False,False,False,False,False,True,False,Low,1,Q3,1,0.8077,6.83,12.19
CUST00053,688400.0,20000.0,480.0,5,19.24,0,28.0,Salaried,0,5.9,7.2,2020,1,10,Friday,3.0,1,True,False,False,False,False,True,False,False,False,High,0,Q1,2,0.0291,0.83,19.24
CUST00054,785800.0,337700.0,683.0,36,23.21,0,55.0,Salaried,0,5.1,5.8,2020,12,18,Friday,2.0,1,False,False,False,True,True,False,False,False,False,High,0,Q3,1,0.4298,6.0,23.21
CUST00055,468400.0,176600.0,821.0,46,21.89,0,34.0,Self-Employed,3,5.4,6.1,2024,4,20,Saturday,1.0,0,False,True,False,False,True,False,False,False,False,Medium,1,Q4,1,0.377,7.67,21.89
CUST00056,589800.0,143200.0,673.0,39,14.16,0,37.0,Salaried,0,5.9,7.2,2019,10,16,Wednesday,1.0,0,True,False,False,False,False,True,False,False,False,Medium,0,Q3,1,0.2428,6.5,14.16
CUST00057,580600.0,119000.0,782.0,11,20.8,0,56.0,Salaried,2,5.9,7.2,2022,10,9,Sunday,1.0,1,True,False,False,False,True,False,False,False,False,Medium,1,Q2,2,0.205,1.83,20.8
CUST00058,337800.0,95400.0,600.0,29,29.41,0,60.0,Unemployed,3,5.9,7.2,2025,6,19,Thursday,0.0,1,True,False,False,False,True,False,False,False,False,Low,0,Q2,1,0.2824,4.83,29.41
CUST00059,620900.0,407200.0,647.0,9,49.06,0,24.0,Salaried,2,5.9,7.2,2025,5,28,Wednesday,2.0,0,True,False,False,False,False,False,True,False,False,Medium,0,Q1,2,0.6558,1.5,49.06
CUST00060,1014700.0,315100.0,653.0,7,35.43,0,22.0,Salaried,2,5.1,5.8,2023,1,21,Saturday,3.0,1,False,False,False,True,False,False,False,True,False,Very High,0,Q1,2,0.3105,1.17,35.43
CUST00061,493900.0,273100.0,473.0,5,49.6,0,26.0,Salaried,0,5.1,5.8,2019,5,17,Friday,2.0,1,False,False,False,True,False,False,False,True,False,Medium,0,Q1,2,0.5529,0.83,49.6
CUST00062,253400.0,116300.0,646.4,33,17.88,0,62.0,Unemployed,3,5.4,6.1,2019,12,22,Sunday,1.0,0,False,True,False,False,False,True,False,False,False,Low,0,Q2,1,0.459,5.5,17.88
CUST00063,358900.0,130700.0,300.0,30,28.38,1,24.0,Self-Employed,0,5.1,5.8,2020,2,13,Thursday,0.0,0,False,False,False,True,False,False,False,True,False,Low,0,Q2,1,0.3642,5.0,28.38
CUST00064,219500.0,20000.0,716.0,25,22.31,0,49.0,Self-Employed,1,5.4,6.1,2020,1,3,Friday,1.0,0,False,True,False,False,False,False,False,True,False,Low,1,Q2,1,0.0911,4.17,22.31
CUST00065,873800.0,148300.0,720.0,39,9.14,0,38.0,Self-Employed,2,4.8,5.3,2025,12,10,Wednesday,2.0,0,False,False,True,False,False,False,False,True,False,High,1,Q3,1,0.1697,6.5,9.14
CUST00066,689600.0,443600.0,676.0,37,3.54,0,46.0,Salaried,2,4.8,5.3,2019,6,15,Saturday,2.0,1,False,False,True,False,False,True,False,False,False,High,0,Q3,1,0.6433,6.17,3.54
CUST00067,390200.0,122000.0,716.0,36,16.98,0,64.0,Self-Employed,1,4.8,5.3,2024,8,30,Friday,1.0,0,False,False,True,False,False,False,False,False,True,Medium,1,Q3,1,0.3127,6.0,16.98
CUST00068,258300.0,36400.0,637.0,32,44.54,0,54.0,Salaried,1,4.8,5.3,2021,3,5,Friday,2.0,1,False,False,True,False,False,False,False,True,False,Low,0,Q2,1,0.1409,5.33,44.54
CUST00069,336100.0,219300.0,746.0,37,34.38,0,30.0,Unemployed,0,5.1,5.8,2019,10,22,Tuesday,3.0,1,False,False,False,True,True,False,False,False,False,Low,1,Q3,1,0.6525,6.17,34.38
CUST00070,366900.0,34900.0,651.0,28,30.5,0,56.0,Salaried,4,5.9,7.2,2020,5,19,Tuesday,2.0,1,True,False,False,False,False,False,True,False,False,Low,0,Q2,1,0.0951,4.67,30.5
CUST00071,513600.0,221100.0,655.0,35,66.64,0,44.0,Salaried,3,5.9,7.2,2020,10,13,Tuesday,3.0,1,True,False,False,False,False,False,False,True,False,Medium,0,Q3,1,0.4305,5.83,66.64
CUST00072,505900.0,106200.0,629.0,86,14.88,0,51.0,Salaried,2,5.4,6.1,2019,12,2,Monday,2.0,0,False,True,False,False,False,False,False,False,True,Medium,0,Q4,0,0.2099,14.33,14.88
CUST00073,894200.0,94900.0,705.0,93,36.92,1,35.0,Self-Employed,2,5.1,5.8,2019,6,22,Saturday,2.0,1,False,False,False,True,False,False,True,False,False,High,1,Q4,0,0.1061,15.5,36.92
CUST00074,358000.0,213600.0,616.0,6,21.88,0,28.0,Salaried,4,5.1,5.8,2025,12,7,Sunday,2.0,1,False,False,False,True,False,True,False,False,False,Low,0,Q1,2,0.5966,1.0,21.88
CUST00075,248000.0,62000.0,728.0,11,38.05,0,34.0,Self-Employed,2,5.1,5.8,2024,10,26,Saturday,2.0,1,False,False,False,True,True,False,False,False,False,Low,1,Q2,2,0.25,1.83,38.05
CUST00076,290500.0,85500.0,559.0,42,54.35,0,43.0,Self-Employed,2,5.4,6.1,2023,1,31,Tuesday,1.0,1,False,True,False,False,False,False,False,True,False,Low,0,Q3,1,0.2943,7.0,54.35
CUST00077,483900.0,75200.0,562.0,8,9.47,0,60.0,Salaried,1,5.4,6.1,2023,2,17,Friday,1.0,0,False,True,False,False,False,False,True,False,False,Medium,0,Q1,2,0.1554,1.33,9.47
CUST00078,352200.0,84400.0,705.0,6,46.15,0,41.0,Self-Employed,2,5.4,6.1,2025,8,17,Sunday,1.0,1,False,True,False,False,False,False,False,True,False,Low,1,Q1,2,0.2396,1.0,46.15
CUST00079,428700.0,161300.0,643.0,97,35.41,0,44.0,Self-Employed,1,5.4,6.1,2022,7,1,Friday,2.0,0,False,True,False,False,True,False,False,False,False,Medium,0,Q4,0,0.3763,16.17,35.41
CUST00080,368500.0,115200.0,614.0,7,19.4,0,38.0,Self-Employed,3,4.8,5.3,2021,5,19,Wednesday,1.0,1,False,False,True,False,False,True,False,False,False,Low,0,Q1,2,0.3126,1.17,19.4
CUST00081,763500.0,134800.0,721.0,86,3.13,1,44.0,Salaried,4,5.1,5.8,2023,9,14,Thursday,3.0,1,False,False,False,True,False,False,True,False,False,High,1,Q4,0,0.1766,14.33,3.13
CUST00082,375400.0,118900.0,601.0,37,30.31,0,46.0,Salaried,2,4.8,5.3,2019,10,3,Thursday,2.0,0,False,False,True,False,False,False,False,True,False,Low,0,Q3,1,0.3167,6.17,30.31
CUST00083,412600.0,141300.0,634.0,28,124.81,0,45.0,Salaried,2,5.4,6.1,2025,4,30,Wednesday,2.0,1,False,True,False,False,False,False,True,False,False,Medium,0,Q2,1,0.3425,4.67,124.81
CUST00084,675200.0,318800.0,762.0,12,6.75,0,61.0,Salaried,0,4.8,5.3,2024,2,6,Tuesday,1.0,0,False,False,True,False,True,False,False,False,False,High,1,Q2,2,0.4722,2.0,6.75
CUST00085,379200.0,93700.0,773.0,11,8.81,0,49.0,Self-Employed,0,5.4,6.1,2025,2,17,Monday,3.0,1,False,True,False,False,False,True,False,False,False,Low,1,Q2,2,0.2471,1.83,8.81
CUST00086,571180.0,142300.0,776.0,30,35.64,0,35.0,Salaried,0,5.4,6.1,2020,3,10,Tuesday,3.0,1,False,True,False,False,False,False,True,False,False,Medium,1,Q2,1,0.2491,5.0,35.64
CUST00087,567600.0,120100.0,627.0,8,8.87,0,21.0,Self-Employed,3,5.4,6.1,2024,3,30,Saturday,2.0,0,False,True,False,False,False,True,False,False,False,Medium,0,Q1,2,0.2116,1.33,8.87
CUST00088,693600.0,504150.0,748.0,5,49.35,0,45.0,Salaried,2,5.4,6.1,2019,1,28,Monday,1.0,1,False,True,False,False,True,False,False,False,False,High,1,Q1,2,0.7269,0.83,49.35
CUST00089,293500.0,69900.0,574.0,9,33.78,0,27.0,Salaried,2,5.1,5.8,2025,12,12,Friday,2.0,1,False,False,False,True,False,True,False,False,False,Low,0,Q1,2,0.2382,1.5,33.78
CUST00090,850300.0,443200.0,300.0,12,12.07,0,29.0,Self-Employed,0,5.1,5.8,2022,7,15,Friday,1.0,0,False,False,False,True,True,False,False,False,False,High,0,Q2,2,0.5212,2.0,12.07
CUST00091,1152675.0,249000.0,462.0,14,15.05,1,44.0,Self-Employed,4,4.8,5.3,2022,3,17,Thursday,1.0,1,False,False,True,False,True,False,False,False,False,Very High,0,Q2,2,0.216,2.33,15.05
CUST00092,490900.0,195000.0,784.0,37,7.17,0,21.0,Salaried,3,4.8,5.3,2025,3,14,Friday,2.0,0,False,False,True,False,False,True,False,False,False,Medium,1,Q3,1,0.3972,6.17,7.17
CUST00093,305300.0,20400.0,581.0,6,58.01,0,64.0,Salaried,1,5.1,5.8,2023,5,23,Tuesday,2.0,1,False,False,False,True,False,False,False,True,False,Low,0,Q1,2,0.0668,1.0,58.01
CUST00094,495400.0,179000.0,640.0,11,58.73,0,28.0,Salaried,2,5.4,6.1,2024,7,30,Tuesday,2.0,0,False,True,False,False,False,True,False,False,False,Medium,0,Q2,2,0.3613,1.83,58.73
CUST00095,763300.0,84400.0,577.0,33,65.52,0,44.0,Salaried,2,5.4,6.1,2025,7,17,Thursday,3.0,0,False,True,False,False,True,False,False,False,False,High,0,Q2,1,0.1106,5.5,65.52
CUST00096,721020.0,332000.0,706.0,86,18.1,1,44.0,Salaried,3,5.1,5.8,2022,2,20,Sunday,2.0,0,False,False,False,True,False,False,False,True,False,High,1,Q4,0,0.4605,14.33,18.1
CUST00097,461400.0,190800.0,620.0,5,13.75,0,37.0,Salaried,0,5.4,6.1,2022,10,16,Sunday,2.0,0,False,True,False,False,False,False,True,False,False,Medium,0,Q1,2,0.4135,0.83,13.75
CUST00098,569900.0,200400.0,546.0,4,31.03,0,28.0,Salaried,0,5.9,7.2,2024,8,18,Sunday,1.0,1,True,False,False,False,True,False,False,False,False,Medium,0,Q1,2,0.3516,0.67,31.03
CUST00099,840200.0,308000.0,685.0,27,53.17,0,55.0,Self-Employed,1,5.9,7.2,2021,12,5,Sunday,3.0,0,True,False,False,False,False,True,False,False,False,High,0,Q2,1,0.3666,4.5,53.17
CUST00100,693100.0,286300.0,535.0,93,13.46,0,55.0,Salaried,5,4.8,5.3,2022,3,15,Tuesday,0.0,1,False,False,True,False,False,False,True,False,False,High,0,Q4,0,0.4131,15.5,13.46
CUST00101,706200.0,237800.0,656.2,50,11.7,0,53.0,Salaried,2,4.8,5.3,2022,8,30,Tuesday,3.0,1,False,False,True,False,False,False,False,True,False,High,0,Q4,1,0.3367,8.33,11.7
CUST00102,403600.0,20000.0,481.0,36,48.35,0,25.0,Salaried,0,5.1,5.8,2021,9,17,Friday,3.0,1,False,False,False,True,False,False,False,True,False,Medium,0,Q3,1,0.0496,6.0,48.35
CUST00103,585900.0,171200.0,536.0,16,9.3,0,62.0,Self-Employed,2,5.4,6.1,2024,11,6,Wednesday,1.0,1,False,True,False,False,True,False,False,False,False,Medium,0,Q2,2,0.2922,2.67,9.3
CUST00104,353300.0,124800.0,664.0,31,35.62,0,59.0,Salaried,3,5.4,6.1,2024,3,2,Saturday,2.0,1,False,True,False,False,False,False,False,True,False,Low,0,Q2,1,0.3532,5.17,35.62
CUST00105,715300.0,348200.0,493.0,7,23.85,0,61.0,Salaried,0,5.9,7.2,2022,2,21,Monday,3.0,0,True,False,False,False,False,False,False,True,False,High,0,Q1,2,0.4868,1.17,23.85
CUST00106,820800.0,344600.0,532.0,33,17.32,0,48.0,Self-Employed,2,4.8,5.3,2023,12,28,Thursday,2.0,0,False,False,True,False,True,False,False,False,False,High,0,Q2,1,0.4198,5.5,17.32
